,Parent,Tag,ContainedInStructure,ObjectPlacement,Representation,ObjectType,GlobalId,OwnerHistory,Name,Description,ODAUniqueID,IsDefinedBy,NOI_UUID,ConnectedTo,HasAssociations,HasOpenings,ConnectedFrom,OverallWidth,Reference,OverallHeight,FillsVoids,Einheit,V9,V8,V7,V6,ShapeType,PredefinedType,Gewerk,InteriorOrExteriorSpace,LongName,ElevationWithFlooring,Flchenart_Wohnflche,CompositionType,Decomposes,Faktor_DIN277,SpaceTemperatureMax,SpaceTemperatureMin,Faktor,Ortscode_Geschobezeichnung,Faktor_Wohnflche_Raum,Flchenart_DIN277,Umschlieungsart
381083,Liegenschaft,,384879,380890,381079,,2ZABbd35XBkwFPfNKaAjTf,4,3D Element,,381083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381302,Liegenschaft,,384879,381109,381298,,0sZDk8Hg1CHgkroSg0IvLZ,4,3D Element,,381302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381520,Liegenschaft,,384879,381328,381516,,3SwYxOCOv9JwjKGElaIN$m,4,3D Element,,381520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381739,Liegenschaft,,384879,381546,381735,,3rUJY4RzH2Yx$P8TZLIZcF,4,3D Element,,381739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381958,Liegenschaft,,384879,381765,381954,,0M1K9lzAb43ggsL65aCqDh,4,3D Element,,381958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382176,Liegenschaft,,384879,381984,382172,,2qjdX$40fFnedwa8mQkgtx,4,3D Element,,382176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382395,Liegenschaft,,384879,382203,382391,,1Ghd6EFij9WxuS94fn3QOg,4,3D Element,,382395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382614,Liegenschaft,,384879,382421,382610,,2l3sZsHg9Akhl_LPEZtv_t,4,3D Element,,382614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382833,Liegenschaft,,384879,382640,382828,,11wkZDzoX8p9oWnukiXn53,4,3D Element,,382833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383051,Liegenschaft,,384879,382859,383047,,24RFQv73LCTAHxs1GxQU_k,4,3D Element,,383051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
