,Parent,ProvidesBoundaries,ConnectedTo,Wrapping at Ends,Tag,HasOpenings,Phase Created,Base Constraint,AccessibilityPerformance,Top Extension Distance,Top is Attached,ContainedInStructure,ObjectPlacement,Representation,Reference,Wrapping at Inserts,ObjectType,Size,HasAssociations,IsDefinedBy,Manufacturer,Top Offset,GlobalId,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Related to Mass,WarrantyDescription,LoadBearing,ExtendToStructure,ModelLabel,IsExternal,ProductionYear,Base Offset,Location Line,Base is Attached,Base Extension Distance,Finish,Top Constraint,Room Bounding,Unconnected Height,Area,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,Structural Usage,Length,Volume,Width,Function,Coarse Scale Fill Color,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,AssetAccountingType,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Classification Description,Classification Code,ConnectedFrom,Rebar Cover - Other Faces,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Enable Analytical Model,Coarse Scale Fill Pattern,PredefinedType,Level,Height Offset From Level,Structural,Perimeter,Vertical Projection,Thickness,Default Thickness,Decomposes,OverallWidth,OverallHeight,Window Inset,FillsVoids,ConfigurationType,Height,Frame Exterior Material,Frame Interior Material,Sash,Type Mark,FireRating,Sill Height,Head Height,Mark,Glass Pane Material,Default Sill Height,ConstructionType,Wall Closure,Construction Type,OmniClass Number,OmniClass Title,GlazingAreaFraction,OperationType,Trim Exterior Material,Trim Interior Material,Sash Material,Moves With Nearby Elements,Frame Material,Trim Projection Ext,Trim Width,Door Material,Fire Rating,Trim Projection Int,IsFireExit,Stile Width - Latch,Rail Width - Top,Rail Width - Base,Stile Width - Hinge,TreadLength,NumberOfRiser,RiserHeight,NumberOfTreads,NosingLength,TreadLengthAtInnerSide,TreadLengthAtOffset,WalkingLineOffset,WaistThickness,Railing Height,Use Landing Height Adjustment,Rail Connections,Baluster Offset,Angled Joins,Landing Height Adjustment,Tangent Joins,TotalThickness,Start Extension,End Extension,End Fx,End Fy,End Fz,W,Start Release,Span,End Extension Calculation,Slope,End Release,Start Extension Calculation,Analyze As,Beam Material,Stick Symbol Location,Cut Length,Start Fx,Start Fy,Start Fz,Start Mx,Start My,Start Mz,End Mx,End My,End Mz,Rigid Links,Horizontal Projection,Reference Level,Work Plane,Start Level Offset,End Level Offset,z-Direction Justification,z-Direction Offset Value,Lateral Justification,Orientation,Cross-Section Rotation,A,bf,d,kr,k,tw,tf,Seat Material,Host,Top Material,Handle Material,Plinth Depth,Offset,Depth,Plinth Height,Sink Opening Depth,Sink Opening Width,Sink Location,Sink Location To Wall,Counter Thickness,Backsplash Visibility,Top Of Cabinet,Elevation,Panel Material,Mattress Material,Leg Material,InteriorOrExteriorSpace,OccupancyZoneName,LongName,ElevationWithFlooring,BoundedBy,CeilingCovering,Upper Limit,CompositionType,Number,OmniClass Table 13 Category,Category Description,GSA BIM Area,WallCovering,FloorCovering,Phase,Limit Offset,Unbounded Height,LoadCapacity,Category Code,CirculationZoneName,FireAlarmZoneName,LightingZoneName,HistoricPreservationZoneName,VentilationZoneName,RoomTag,Do Not Break At Inserts,Rebar Cover - Bottom Face,Foundation Thickness,Elevation at Bottom,Eccentricity,Rebar Cover - Top Face,Default End Extension Length
3797,Level 1,"38790,38821","38925,38991,38996,38999",0,138062,"6294,21706",New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,3781,3796,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38356,"3803,3863,3865,3867,3869,3871,38565,38566,38567,38568",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FNtn,33,Basic Wall:Exterior - Brick on Block:138062,,InstallationDate,3797,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Level 2,T,3.100000,13.611840,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,8.383000,5.676137,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,Level 1,"38716,38794,38799,38910","38926,38927,38997",0,138157,"6570,6795",New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,3986,3998,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38357,"4002,4018,4020,4022,4024,4026,38565,38566,38567,38568",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FNqI,33,Basic Wall:Exterior - Brick on Block:138157,,InstallationDate,3999,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Level 2,T,3.100000,49.724800,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.383000,20.735242,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,38996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4043,Level 1,"38687,38723","38928,38998",0,138237,"6518,21916",New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4030,4042,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38358,"4046,4062,4064,4066,4068,4070,38565,38566,38567,38568",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FNr2,33,Basic Wall:Exterior - Brick on Block:138237,,InstallationDate,4043,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Level 2,T,3.100000,12.319140,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,8.383000,5.137081,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,38997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4087,Level 1,"38691,38696,38822,38916","38929,38930",0,138310,"6744,7012",New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4074,4086,Basic Wall:Exterior - Brick on Block,0,Basic Wall:Exterior - Brick on Block:130892,Size,38359,"4090,4106,4108,4110,4112,4114,38565,38566,38567,38568",Manufacturer,0.000000,2O2Fr$t4X7Zf8NOew3FNhv,33,Basic Wall:Exterior - Brick on Block:138310,,InstallationDate,4087,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Level 2,T,3.100000,48.432100,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.383000,20.196186,0.417000,1,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,"38991,38998,38999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,Level 1,"38793,38828",,2,138584,,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4118,4130,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,38360,"4135,4186,4188,4190,4192,4194,38538,38539,38540,38541",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FNld,33,Basic Wall:Interior - Partition (92mm Stud):138584,,InstallationDate,4131,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,F,ProductionYear,0.000000,2,F,0.000000,Finish,Up to level: Level 2,T,2.795000,10.014485,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,3.791500,1.241796,0.124000,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Metal-Framed Gypsum Board Fixed Partitions,23-25 40 11 11 11,38925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4219,Level 1,"38801,38810,38825,38827","38923,38932",2,139143,8156,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4206,4218,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,38361,"4222,4239,4241,4243,4245,4247,38538,38539,38540,38541",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FNau,33,Basic Wall:Interior - Partition (92mm Stud):139143,,InstallationDate,4219,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,F,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 2,T,2.795000,6.613016,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,3.195000,0.820014,0.124000,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Metal-Framed Gypsum Board Fixed Partitions,23-25 40 11 11 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4287,Level 1,"38705,38718,38911","38931,38933,38988,39000",0,139234,,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4251,4286,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall,0,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:128555,Size,38362,"4290,4340,4342,4344,4346,4348,38550,38551,38552,38553",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FNbT,33,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139234,,InstallationDate,4287,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 2,T,2.795000,11.741795,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,4.191500,5.788705,0.550000,5,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,38926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,Level 1,"38812,38824,38917","38934,38935,38990",0,139347,,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4364,4398,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall,0,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:128555,Size,38363,"4402,4418,4420,4422,4424,4426,38550,38551,38552,38553",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FKRi,33,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139347,,InstallationDate,4399,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 2,T,2.795000,11.741795,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,4.191500,5.788705,0.550000,5,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,"38923,38929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,Level 1,,,0,139374,,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4430,4464,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall,0,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:128555,Size,38364,"4468,4483,4485,4487,4489,4491,38550,38551,38552,38553",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FKRH,33,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139374,,InstallationDate,4465,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,T,ProductionYear,0.000000,0,F,0.000000,Finish,Up to level: Level 2,T,2.795000,,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,2.200000,2.010723,0.550000,5,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Masonry Structural Walls,23-25 30 24 14,"38990,39000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4508,Level 1,"38698,38709,38719,38721",38989,2,139682,7990,New Construction,Level 1,AccessibilityPerformance,0.000000,F,38298,4495,4507,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,38365,"4511,4528,4530,4532,4534,4536,38538,38539,38540,38541",Manufacturer,-0.305000,2O2Fr$t4X7Zf8NOew3FKST,33,Basic Wall:Interior - Partition (92mm Stud):139682,,InstallationDate,4508,WarrantyGuarantorLabor,F,WarrantyDescription,F,F,ModelLabel,F,ProductionYear,0.000000,3,F,0.000000,Finish,Up to level: Level 2,T,2.795000,6.613016,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,3.195000,0.820014,0.124000,0,0,WarrantyDurationParts,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,Metal-Framed Gypsum Board Fixed Partitions,23-25 40 11 11 11,38988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
