,Parent,ProvidesBoundaries,ConnectedTo,Wrapping at Ends,Tag,HasOpenings,Phase Created,Base Constraint,Top Extension Distance,Top is Attached,ContainedInStructure,ObjectPlacement,Representation,Reference,Wrapping at Inserts,ObjectType,Size,HasAssociations,IsDefinedBy,Manufacturer,Top Offset,GlobalId,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Related to Mass,ModelLabel,IsExternal,WarrantyDescription,LoadBearing,ExtendToStructure,ProductionYear,Base Offset,Base is Attached,Unconnected Height,Room Bounding,Base Extension Distance,Top Constraint,Finish,Location Line,Area,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,Structural Usage,Length,Volume,Function,Width,Coarse Scale Fill Color,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,AssetAccountingType,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,Classification Code,Classification Description,ConnectedFrom,FireRating,Coarse Scale Fill Pattern,Fire Rating,Center Mark Visible,Position,Corner Mullion,Angle,Decomposes,Width on side 2,Width on side 1,Thickness,Offset,Profile,Radius,Height,Construction Type,OverallWidth,OverallHeight,Trim Projection Ext,FillsVoids,Level,Trim Width,Door Material,Type Mark,Sill Height,Head Height,Mark,OmniClass Number,Trim Projection Int,Wall Closure,Frame Material,OmniClass Title,GlazingAreaFraction,OperationType,IsFireExit,Glazing Material,Pipe Radius,PredefinedType,Railing Height,Use Landing Height Adjustment,Rail Connections,Baluster Offset,Angled Joins,Landing Height Adjustment,Tangent Joins,Base Level,TreadLength,NumberOfRiser,RiserHeight,NumberOfTreads,TreadLengthAtInnerSide,TreadLengthAtOffset,WalkingLineOffset,WaistThickness,Window Inset,Frame Exterior Material,Frame Interior Material,Sash,Glass Pane Material,Default Sill Height,ConfigurationType,TotalThickness,Height Offset From Level,Perimeter,Cabinet Material,Elevation,Depth,Mounting Height,ADA Compliant,Type Comments,Model,Copyright,Technical Data,Material and Finish,Industry Standards,Version,Complies To Buy American Act,Warranty Information,Material Note,Schedule Level,Host,Assembly Code,Assembly Description,URL,Complies to NAFTA,Percentage of Recycled Content,Diameter,Overall Length,Instructions,Default Elevation,Triton Color Palette,Revisions Date,MasterFormat Title,Ivory,Revit Family Created by,Special Color,Radius Seat,Radius Frame,White,Series,MasterFormat Number,Architectural Design Manual,LEED,Depth of which projects,Void Width,Void Depth,Void Height,Moves With Nearby Elements,Cab Width,Cab Location,Pit Depth,Door Opening,Cab Height,Cab Depth,InteriorOrExteriorSpace,OccupancyZoneName,LongName,ElevationWithFlooring,BoundedBy,Upper Limit,CompositionType,Number,OmniClass Table 13 Category,Category Description,GSA BIM Area,Phase,Limit Offset,Unbounded Height,RoomTag,CirculationZoneName,FireAlarmZoneName,LightingZoneName,HistoricPreservationZoneName,VentilationZoneName,Category Code,Backsplash Visibility,Counter Thickness,Sink Opening Width,Sink Opening Depth,Sink Location,Sink Location To Wall,Handle Material,Plinth Depth,Plinth Height,Top Of Cabinet,Length - Leg 1,Length - Leg 2
156,First Floor,"206717,206725,206730,206738,206834,206840,206841,206842,206844,206846,206847,207070,207075,207249,207258,207303,207304","188395,188396,188397,188398,188399,188730,188731,188732,188733,188975,189009,189062,189290,189298",2,162146,"205023,205024,205071",New Construction,First Floor,0.000000,F,209258,13468,132917,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186808,"192713,192714,192715,192716,192717,192718,209244,209245,209246,209247",Manufacturer,-0.102000,0bk1ZfURb7DB4FOIglu8Y$,1,Basic Wall:Interior - Partition (92mm Stud):162146,,InstallationDate,156,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,66.389730,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,16.135000,8.232327,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,First Floor,"206308,206309,206346,206347,206349,206351,206353,206368,206370,206624,206637,206640,206653,206654,206897","188653,189100",2,366211,"205244,205299,205300,205302,205335",New Construction,First Floor,0.000000,F,209258,9070,133969,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,187748,"205629,205630,205631,205632,205633,205634,209244,209245,209246,209247",Manufacturer,-0.102000,1qc5HjZvrCsga38tqxQ3nV,1,Basic Wall:Interior - Partition (92mm Stud):366211,,InstallationDate,157,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,56.278552,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,14.255452,6.942402,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,"188280,188281,188312,188313,188319,188320,188321,189000,189097,189098,189674,190067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,First Floor,"206985,206990,207004,207016,207032,207049,207054,207279,207281,207283,207285,207287,207289,207290,207397","188405,188406,188407,188408,188739,188740,188741,188918,189303",2,164694,"204942,205054,205055,205067,205068,205074,205075",New Construction,First Floor,0.000000,F,209258,4326,132942,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186833,"205411,205412,205413,205414,205415,205416,209244,209245,209246,209247",Manufacturer,-0.102000,3Egy$LBd99weR14rW4bmWa,1,Basic Wall:Interior - Partition (92mm Stud):164694,,InstallationDate,163,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,71.769860,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,18.766000,8.899463,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,First Floor,"207165,207172,207187,207188,207204,207266,207267,207268,207270,207271,207272,207273,207274,207275","188490,188491,188492,188493,188494,188801,188802,189020,189109,189187,189415,189564",2,186167,205065,New Construction,First Floor,0.000000,F,209258,32225,133107,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186998,"193787,193788,193789,193790,193791,193792,209244,209245,209246,209247",Manufacturer,-0.102000,3Egy$LBd99weR14rW4brn5,1,Basic Wall:Interior - Partition (92mm Stud):186167,,InstallationDate,169,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,77.667150,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.696000,9.630727,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,"188253,188930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,First Floor,"206298,206299,206300,206301,206302,206303,206500,206554,206568,206586,206603","188125,188126,188384,188722,188723,188724,188725,188978,189007,189070,189269,189271,189561",2,158257,,New Construction,First Floor,0.000000,F,209258,123497,132887,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186778,"192539,192540,192541,192542,192543,192544,209244,209245,209246,209247",Manufacturer,-0.102000,3LbNSBzHHBSuzhUUvuwFIB,1,Basic Wall:Interior - Partition (92mm Stud):158257,,InstallationDate,183,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,54.089608,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,12.017000,6.707111,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,188235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,First Floor,"206742,206744,206762,206781,206793,206804,206812,206822,206856,206858,206860,206862,206864","188303,188411,188412,188413,188414,188415",2,164924,"205025,205026,205027,205028,205029",New Construction,First Floor,0.000000,F,209258,9062,132944,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186835,"192863,192864,192865,192866,192867,192868,209244,209245,209246,209247",Manufacturer,-0.102000,3Egy$LBd99weR14rW4bmzE,1,Basic Wall:Interior - Partition (92mm Stud):164924,,InstallationDate,184,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,72.028158,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,18.395000,8.931492,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,189304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,First Floor,"207095,207117,207146,207177,207200,207220,207230,208771,208772","188064,188065,188066,188067,188147,188148,188149,188150,188151,188152,188153,189193",1,141152,"204933,205174",New Construction,First Floor,0.000000,F,209258,28134,132797,Basic Wall:Exterior - Insul Panel on Mtl. Stud,0,Basic Wall:Exterior - Insul Panel on Mtl. Stud:130954,Size,186688,"205357,205358,205359,205360,205361,205362,209211,209212,209213,209214",Manufacturer,0.457000,3LbNSBzHHBSuzhUUvuwBdQ,1,Basic Wall:Exterior - Insul Panel on Mtl. Stud:141152,,InstallationDate,195,WarrantyGuarantorLabor,F,ModelLabel,T,WarrantyDescription,F,F,ProductionYear,0.000000,F,5.027000,T,0.000000,Up to level: Second Floor,Finish,2,153.657171,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,32.333000,41.026465,1,0.267000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 30 24 21,Metal Framed Structural Walls,189192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,First Floor,"206676,206690,206706,207089,207094,207623","188069,188136,188137,188138,188156,188164,188165,188166,188167,188168,188172,188996,189549,189550",1,142014,"205170,205171,205187",New Construction,First Floor,0.000000,F,209258,13475,132802,Basic Wall:Exterior - Insul Panel on Mtl. Stud,0,Basic Wall:Exterior - Insul Panel on Mtl. Stud:130954,Size,186693,"192065,192066,192067,192068,192069,192070,209211,209212,209213,209214",Manufacturer,0.457000,3LbNSBzHHBSuzhUUvuwBG4,1,Basic Wall:Exterior - Insul Panel on Mtl. Stud:142014,,InstallationDate,196,WarrantyGuarantorLabor,F,ModelLabel,T,WarrantyDescription,F,F,ProductionYear,0.000000,F,5.027000,T,0.000000,Up to level: Second Floor,Finish,2,75.795781,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,17.081456,20.237473,1,0.267000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 30 24 21,Metal Framed Structural Walls,189196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,First Floor,"205967,205968,205972,205974,205978,206101,206103,206112,206113,206114,206118,206119","188446,188447,188770,188771,188772,189339,189340,189751,190043",2,174960,204993,New Construction,First Floor,0.000000,F,209258,32123,133010,Basic Wall:Interior - Partition (92mm Stud),0,Basic Wall:Interior - Partition (92mm Stud):128360,Size,186901,"193241,193242,193243,193244,193245,193246,209244,209245,209246,209247",Manufacturer,-0.102000,3Egy$LBd99weR14rW4bo02,1,Basic Wall:Interior - Partition (92mm Stud):174960,,InstallationDate,202,WarrantyGuarantorLabor,F,ModelLabel,F,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.468000,T,0.000000,Up to level: Second Floor,Finish,2,30.051674,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,7.323500,3.726408,0,0.124000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 40 11 11 11,Metal-Framed Gypsum Board Fixed Partitions,188054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,First Floor,"207374,207494,207512,207531,207544,207582","188055,188056,188057,188058,188059,188140,188141,188142,188143,188144,188146,189191,189536,189988,189998",1,140832,205183,New Construction,First Floor,0.000000,F,209258,32387,132795,Basic Wall:Exterior - Insul Panel on Mtl. Stud,0,Basic Wall:Exterior - Insul Panel on Mtl. Stud:130954,Size,186686,"192029,192030,192031,192032,192033,192034,209211,209212,209213,209214",Manufacturer,0.000000,3LbNSBzHHBSuzhUUvuwBYQ,1,Basic Wall:Exterior - Insul Panel on Mtl. Stud:140832,,InstallationDate,206,WarrantyGuarantorLabor,F,ModelLabel,T,WarrantyDescription,F,F,ProductionYear,0.000000,F,4.570000,T,0.000000,Up to level: Second Floor,Finish,2,89.939200,SerialNumber,WarrantyStartDate,BarCode,AssetIdentifier,Features,TagNumber,0,20.060000,24.013766,1,0.267000,0,WarrantyDurationParts,AccessibilityPerformance,CodePerformance,Color,Constituents,Grade,Material,ModelReference,NominalHeight,NominalLength,Shape,SustainabilityPerformance,WarrantyDurationLabor,FIXED,WarrantyGuarantorParts,ExpectedLife,ReplacementCost,NominalWidth,23-25 30 24 21,Metal Framed Structural Walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
