,Parent,FixtureHeight,Tag,Phase Created,AccessibilityPerformance,Face Plate Material Finish,Light Loss Factor,Emit Shape Visible in Rendering,Dimming Lamp Color Temperature Shift,Housing Material Finish,ContainedInStructure,Light Source Definition (family),ObjectPlacement,Number of Lamps or LEDs,Representation,Reference,Initial Intensity,ObjectType,Size,HasAssociations,IsDefinedBy,GlobalId,OwnerHistory,Photometry Comments,Name,Description,BackupSupplySystem,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Color Filter,SerialNumber,AssetIdentifier,WarrantyStartDate,Features,TagNumber,Emit from Rectangle Width,Electrical Data,BarCode,Host,Status,Emit from Rectangle Length,LER Luminaire Efficacy Rating,Schedule Level,PictogramEscapeDirection,Calculate Coefficient of Utilization,SensibleLoadToRadiant,Elevation,Lens Material Finish,Apparent Load,Initial Color,Light Source Symbol Size,Depth,Width,Length,Default Elevation,Voltage Comments,Spacing to Mounting Height Ratio Diagonal,Lamp,Voltage,CodePerformance,InsulationStandardClass,Grade,SustainabilityPerformance,HasProtectiveEarth,Constituents,PowerFactor,ModelReference,RatedVoltage,NominalFrequencyRange,NumberOfPoles,NominalLength,RatedCurrent,Color,Material,WarrantyGuarantorParts,AssetAccountingType,WarrantyDurationLabor,OmniClass Title,Finish,ReplacementCost,Assembly Code,WarrantyDurationParts,ExpectedLife,Shape,IP_Code,ConductorFunction,NominalHeight,ModelLabel,WarrantyDescription,ProductionYear,NominalWidth,LightFixturePlacingType,LightFixtureMountingType,NumberOfSources,MaximumSpaceSensibleLoad,MaintenanceFactor,TotalWattage,MaximumPlenumSensibleLoad,Lamp Position,Spacing to Mounting Height Ratio 90 Degree Plane,Spacing to Mounting Height Ratio 0 Degree Plane,CIE Type,Fixture Efficiency,Housing Finish Option,NEMA Type,Lens Option,Number of Faces,Manufacturer,Assembly Description,Product Page URL,URL,OmniClass Number,Specification Sheet,Product Family,Type Mark,Catalog Number,Model,Recessing Radius,Ballast Voltage,Load Classification,Ballast Number of Poles,Panel,Circuit Number,Recessing Diameter,Recessing Height,Lumens,Wattage Comments,Recessing Inner Radius,Switch Voltage,Offset,Mark,Load,IsPluggableOutlet,Shade Material,Radius,Grid Material,Diffuser Material,Light Box Material,Light Casing Length,Drop From Ceiling,Ceiling Mount Material,Light Casing Material,Label,Moves With Nearby Elements,XRAY,Level,DARKROOM,Max #1 Pole Breakers,CompositionType,Distribution System,Total Estimated Demand Current,Mains,Apparent Load Phase A,Total Estimated Demand,Receptacle Demand Factor,Apparent Load Phase B,Total Connected,Apparent Load Phase C,Number of Phases,Receptacle Estimated Demand Current,Number of Wires,Supply From,Total Demand Factor,Receptacle Estimated Demand,Receptacle Connected Current,Total Connected Current,Receptacle Connected,24 Circuit Height,Current Phase A,Current Phase B,Current Phase C,Height,Enclosure,Mounting,Panel Name,12 Circuit Height,30 Circuit Height,42 Circuit Height,IsSkilledOperator,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Connected Current,Lighting - Dwelling Unit Estimated Demand,Other Estimated Demand,Lighting - Dwelling Unit Connected,Other Connected Current,Other Estimated Demand Current,Other Connected,Lighting - Dwelling Unit Estimated Demand Current,Cooling Estimated Demand Current,Cooling Demand Factor,Cooling Connected Current,Cooling Connected,Cooling Estimated Demand,Location,Cab Width,Cab Location,Cab Height,Door Opening,Cab Depth,Pit Depth,Chiller Length,Chilled Water Return Radius,Number of Poles,C1 Offset 2,C1 Offset 1,C2 Offset 2,C1 Offset 3,Chilled Water Supply Diameter,Chilled Water Return Diameter,Chilled Water Supply Radius,Length 1,Length 2,Radius 1,Half Number of Fans,Number of Fans,Cold Capacity,Chilled Water Flow,Drain Flow,System Classification,Chilled Water Pressure Drop,System Name,Appliance - Dwelling Unit Estimated Demand Current,Appliance - Dwelling Unit Demand Factor,Appliance - Dwelling Unit Estimated Demand,Appliance - Dwelling Unit Connected Current,Appliance - Dwelling Unit Connected,Primary Voltage,Panel Height,Switchboard Height,Switchboard Width,Switchboard Length,Primary Number of Poles,Height 1,Half Switchboard Length,Panel Length,Suction Nominal Radius,Suction Outside Diameter,Discharge Nominal Radius,Suction Nominal Diameter,Flange Height,Length 4,Length 3,Discharge Nominal Diameter,Housing Width,Outside Diameter 1,Outside Diameter 2,Outside Diameter 4,Suction Outside Radius,Flange Diameter,Radius 2,Radius 3,Flange Radius,Outside Radius 4,Outside Radius 1,Outside Radius 2,RPM,Heating Capacity,External Static Pressure,Return Airflow,Supply Airflow,Cooling Capacity,Poles,Dimension D,Dimension E,Dimension F,Dimension A,Dimension G,Dimension H,Condensate Diameter,Condensate Radius,Cap Diameter,Outlet Width,Fan Diameter,External Static Presure,Fan Height,Fan Radius,Base Width,Cap Radius,Overall Height,Outlet Height,Diameter 1,Diameter 2,Half Outlet Radius,Half Exhaust Inlet Height,Air Flow,InteriorOrExteriorSpace,OccupancyZoneName,LongName,ElevationWithFlooring,CeilingCovering,Upper Limit,Number,Decomposes,OmniClass Table 13 Category,Category Description,GSA BIM Area,WallCovering,FloorCovering,RoomTag,LoadCapacity,HistoricPreservationZoneName,LightingZoneName,VentilationZoneName,FireAlarmZoneName,Computation Height,CirculationZoneName,Category Code,Unbounded Height,Area,Volume,Perimeter,Phase,Base Offset,Limit Offset,Hot Water Diameter,Sanitary Diameter,Sanitary Radius,Vent Radius,Water Heater Radius,Cold Water Diameter,Hot Water Radius,Vent Diameter,Water Heater Height,Cold Water Radius
322,Level 1,0,1208340,New Construction,N/A,Aluminum-Philips Chloride,0,F,0,Paint-Philips Chloride-Black,103409,Rectangle+Spherical,47241,16,53871,REF TYPE MARK,0,X1,0,86601,"102733,102734,102735,102736,102737,102738,102739,103485,103486,103487,103488,103489,103490,103491,103492,103493,103494",1dLDiZnH12mRH5cIKJ8XDl,1,No Photometry Available,Exit Sign - Ceiling_Mount_Single:X1:X1:1208340,,NO,N/A,322,N/A,16777215,N/A,N/A,N/A,N/A,N/A,0.225524,Luminaire 120 V/1-4 VA,N/A,Grid : B,UNSET,0.336550,Not Available,Level: Level 1,UNSET,F,0,1.219200,Plastic-Philips Chloride-Red,40.902860,0,0.609600,0.120650,0.336550,0.225524,1.219200,12/27 (Dual Voltage - 120/277),Not Available,LED,1291.669250,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Emergency Lighting,UNSET,N/A,D5020200,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,Horizontal,Not Available,Not Available,Not Available,Not Available,Matte Black w/Brushed Aluminum Face,Not Applicable,Red,1,N/A,Lighting Equipment,http://www.chloridesys.com/chloride/Chloridefixture.cfm?ID=3748,http://www.chloridesys.com/chloride/,23.80.70.11.21,CE-11400,55 Line LED Die Cast Aluminum Exit - Traditional,X1,55LA-1-12/27-R,55LA-1-12/27-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Level 1,0,827428,New Construction,N/A,,0,,0,,103409,Point+HemiSpherical,46107,,53840,REF TYPE MARK,0,SD - 213mm Diameter,0,,"95810,95811,95812,95813,95814,95815,95816,103427,103428,103429,103430,103431,103432,103433,103434",3dg6tDRA54OxNLWvKHl5cL,1,,M_Downlight - Recessed Can:SD - 213mm Diameter:SD - 213mm Diameter:827428,,NO,N/A,1203,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-100 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,1076.391042,0,0.050000,,,,1.200000,,,"T4, QUAD TUBE, CRI=82",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,D5020220,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Incandescent,,,23.80.70.11.14.11,,,SD,,,0.100000,1291.669250,Lighting - Dwelling Unit,1,L41B,6,0.200000,0.200000,1800.000000,26,0.087300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Level 1,0,827479,New Construction,N/A,,0,,0,,103409,Point+HemiSpherical,46108,,53841,REF TYPE MARK,0,SDB - 213mm Diameter,0,,"95817,95818,95819,95820,95821,95822,95823,103193,103194,103195,103196,103197,103198,103199,103219",3dg6tDRA54OxNLWvKHl5dc,1,,M_Downlight - Recessed Can:SDB - 213mm Diameter:SDB - 213mm Diameter:827479,,YES,N/A,1204,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-100 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,1076.391042,0,0.050000,,,,1.200000,,,"T4, QUAD TUBE, CRI=82",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,D5020220,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Incandescent,,,23.80.70.11.14.11,,,SDB,,,0.100000,1291.669250,Lighting - Dwelling Unit,1,L41B,6,0.200000,0.200000,1800.000000,26,0.087300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Level 1,0,827488,New Construction,N/A,,0,,0,,103409,Point+HemiSpherical,46109,,53842,REF TYPE MARK,0,SD - 213mm Diameter,0,,"95824,95825,95826,95827,95828,95829,95830,103427,103428,103429,103430,103431,103432,103433,103434",3dg6tDRA54OxNLWvKHl5dH,1,,M_Downlight - Recessed Can:SD - 213mm Diameter:SD - 213mm Diameter:827488,,NO,N/A,1205,N/A,16777215,N/A,N/A,N/A,N/A,N/A,, 120 V/1-100 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,UNSET,F,0,2.680000,,1076.391042,0,0.050000,,,,1.200000,,,"T4, QUAD TUBE, CRI=82",,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Downlights,UNSET,N/A,D5020220,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,UNSET,UNSET,0,0,0,0,0,,,,,,,,,,N/A,Lighting - Incandescent,,,23.80.70.11.14.11,,,SD,,,0.100000,1291.669250,Lighting - Dwelling Unit,1,L41B,6,0.200000,0.200000,1800.000000,26,0.087300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Level 1,,865693,New Construction,N/A,,,,,,103409,,46267,,43506,,,Standard,0,,"96818,96819,96820,96821,96822,96823,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMJUg,1,,M_Duplex Receptacle:Standard:Standard:865693,,,N/A,1608,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21C,2,,,,,,1291.669250,0.000000,34,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Level 1,,875039,New Construction,N/A,,,,,,103409,,46368,,43606,,,Standard,0,,"97429,97430,97431,97432,97433,97434,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMLWe,1,,M_Duplex Receptacle:Standard:Standard:875039,,,N/A,1708,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21B1,23,,,,,,1291.669250,0.000000,134,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Level 1,,883272,New Construction,N/A,,,,,,103409,,46437,,43672,,,Standard,0,,"97845,97846,97847,97848,97849,97850,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMNX$,1,,M_Duplex Receptacle:Standard:Standard:883272,,,N/A,1774,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21B1,1,,,,,,1291.669250,0.000000,200,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Level 1,,883499,New Construction,N/A,,,,,,103409,,46438,,43673,,,Standard,0,,"97851,97852,97853,97854,97855,97856,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMNaS,1,,M_Duplex Receptacle:Standard:Standard:883499,,,N/A,1775,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21B1,1,,,,,,1291.669250,0.000000,201,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Level 1,,889966,New Construction,N/A,,,,,,103409,,46488,,43721,,,Standard,0,,"98156,98157,98158,98159,98160,98161,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMPPP,1,,M_Duplex Receptacle:Standard:Standard:889966,,,N/A,1823,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21B,1,,,,,,1291.669250,0.000000,249,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Level 1,,901093,New Construction,N/A,,,,,,103409,,46586,,43816,,,Standard,0,,"98748,98749,98750,98751,98752,98753,103571,103572,103573,103574,103575",0Oe4W3Rwf1Dht7uPdCMRtI,1,,M_Duplex Receptacle:Standard:Standard:901093,,,N/A,1918,N/A,,N/A,N/A,N/A,N/A,N/A,, 120 V/1-180 VA,N/A,Linked Revit Model : Clinic_A.rvt,UNSET,,,Level: Level 1,,,,0.500000,,,,,,,,0.460000,,,,,N/A,UNSET,N/A,N/A,TRUE,N/A,0,N/A,0,0,0,0,0,UNSET,N/A,N/A,FIXED,N/A,Ground Fault Receptacles,UNSET,N/A,,N/A,N/A,N/A,0,L1,0,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,,N/A,,,,23.80.50.11.17,,,,,,,,Receptacle,,N21E2,27,,,,,,1291.669250,0.000000,344,1937.503875,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
