,Parent,ExpectedLife,Loss Method,Tag,Phase Created,AccessibilityPerformance,WarrantyGuarantorParts,Angle,AssetAccountingType,System Name,CodePerformance,ContainedInStructure,Fitting Outside Diameter,Level,Insulation Radius,ObjectPlacement,Insulation Thickness,Representation,Reference,ObjectType,Size,IsDefinedBy,GlobalId,Color,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Tick Size,Nominal Radius,Nominal Diameter,Features,TagNumber,Center to End,BarCode,System Type,K Coefficient Table,Fitting Outside Radius,Constituents,Use Annotation Scale,Center Radius,SerialNumber,WarrantyStartDate,AssetIdentifier,Host,Offset,Mark,ReplacementCost,Lookup Table Name,OmniClass Title,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,OmniClass Number,Center to End Label,Angle 1,Visibility 3,Visibility 2,Visibility 1,OffsetHeight,Fitting Outside Diameter 2,Fitting Outside Diameter 1,Insulation Radius 2,Insulation Radius 1,Nominal Diameter 2,Nominal Diameter 1,Width Offset,Max Fitting Outside Diameter 12,Height Offset,Fitting Outside Radius 2,Fitting Outside Radius 1,Tick Size 2,Tick Size 1,Nominal Radius 2,Nominal Radius 1,Length,OffsetWidth,Socket Depth,Socket Entrance Diameter,Center to Socket Bottom Label,Wall Thickness,Socket Outside Diameter,Center to Socket Bottom,Socket Insulation Outside Diameter,Socket Outside Radius,Socket Insulation Depth,Socket Insulation Outside Radius,Length 2,Length 1,Center to Socket Bottom Not Found,W0,Num 6,OffsetWidthfromBase,Num 8,Lining Radius,Num 10,Num 1,Num 4,Num 3,Radius,Num 9,OffsetHeightfromBase,Num 7,Length01,Length 8,Length 7,Length 6,Length 5,Length 4,Num 2,Length 3,Half H0,Half W0,Num 5,Delta 2,Delta 1,Lining W0,Lining H0,Insulation H0,Insulation W0,H0,OffsetWidthTemp,OffsetHeightTemp,Diameter,Lining Thickness,Schedule Level,Elevation,Default Elevation,Pipe Radius,Overall Diameter,Pipe Diameter,Overall Radius,Tee,Reference Level,Additional Flow,Inner Diameter,Invert Elevation,Flow,Reynolds Number,Relative Roughness,Friction,Flow State,Friction Factor,End Offset,Velocity,Pressure Drop,Section,Area,Outer Diameter,Horizontal Justification,Vertical Justification,Start Offset,Slope,Roughness,Connection Type,Cross,Class,Classification Description,Classification Code,Elbow,Preferred Junction Type,Transition,Union,Bend Radius,Conduit Size Lookup,Conduit Length,Bend Radius Label,Bend or Fitting,Fixture Units,Diameter(Trade Size),Top Elevation,Bottom Elevation,Standard,Bend,Tap,Velocity Pressure,Size Lock,Loss Coefficient,Hydraulic Diameter,Reynolds number,Multi Shape Transition Rect to Round,Multi Shape Transition Oval to Round,Nut Height,Body Radius,Adapter Length,Stem Radius,Handle Height,Body Diameter,Handle Length,Stem Height,Seal Length,Stem Diameter,Nut Radius,Nut Diameter,Handle Width,Body Length,Body Height,Adapter Radius,Adapter Diameter,Half Nut Height,K Coefficient,Base Radius,Head Radius,Head Small Radius,Head Depth,Panel,Circuit Number,Base Depth,Radius 10,Outside Radius,Width 1,Width 2,Thickness 1,Radius 9,Radius 8,Radius 7,Radius 6,Radius 5,Radius 4,Radius 3,Radius 2,Radius 1,Length 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Angle 2,Valve Length,Outside Diameter,Open Height,C1 Offset 1,C1 Offset 2,Width,Height,Panel Name,Projection,Depth,Standoff,HalfWidth,HalfHeight,Light Loss Factor,Dimming Lamp Color Temperature Shift,Light Source Definition (family),Ballast Voltage,Initial Intensity,Ceiling Mount Material,Color Filter,Electrical Data,Drop From Ceiling,Load Classification,Lamp,Ballast Number of Poles,Calculate Coefficient of Utilization,Initial Color,Pendant Material,Assembly Code,Assembly Description,Light Source Symbol Size,Apparent Load,Switch Voltage,Load,Moves With Nearby Elements,Label,Range Material,Burner Material,Hot Water Diameter,WFU,Flow Pressure,Sanitary Diameter,Sanitary Radius,HWFU,CWFU,Sink Width,Sink Depth,Sink Length,Hot Water Radius,Cold Water Radius,Cold Water Diameter,Shade Material,Door Width,Shower Width,Shower Length,Shower Height,Half Door Width,Half Lavatory Length,Half Oval Long Axis Length 1,Half Oval Long Axis Length,Oval Long Axis Length,Lavatory Width,Oval Short Axis Length,Lavatory Length,Lavatory Height,Half Oval Short Axis Length 1,Half Oval Short Axis Length,Max #1 Pole Breakers,HVAC Demand Factor,Total Estimated Demand Current,Heating Connected,Apparent Load Phase A,Enclosure,Apparent Load Phase B,Receptacle Demand Factor,Total Estimated Demand,Total Connected,HVAC Estimated Demand,Apparent Load Phase C,Other Estimated Demand,HVAC Connected,Total Demand Factor,Mounting,Location,Total Connected Current,24 Circuit Height,Appliance - Dwelling Unit Connected Current,Current Phase A,Current Phase B,Current Phase C,HVAC Connected Current,HVAC Estimated Demand Current,Other Connected,Other Connected Current,Other Estimated Demand Current,Appliance - Dwelling Unit Connected,Appliance - Dwelling Unit Estimated Demand,Appliance - Dwelling Unit Estimated Demand Current,Appliance - Dwelling Unit Demand Factor,Heating Estimated Demand,Heating Connected Current,Heating Estimated Demand Current,Heating Demand Factor,Lighting - Dwelling Unit Connected,Lighting - Dwelling Unit Estimated Demand,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Connected Current,Receptacle Connected Current,Lighting - Dwelling Unit Estimated Demand Current,Receptacle Connected,Receptacle Estimated Demand,Receptacle Estimated Demand Current,Mains,Circuit Naming,Distribution System,Number of Wires,Number of Phases,42 Circuit Height,30 Circuit Height,12 Circuit Height,Bath Tub Width,Bath Tub Length,Bath Tub Height,InteriorOrExteriorSpace,Design HVAC Load per area,LongName,ElevationWithFlooring,CeilingCovering,Upper Limit,CompositionType,Number,Decomposes,OmniClass Table 13 Category,Average Estimated Illumination,Condition Type,GSA BIM Area,WallCovering,Wall Reflectance,FloorCovering,Room Number,Room Name,Design Cooling Load,Unbounded Height,Limit Offset,Phase,Base Offset,Perimeter,Volume,Design Other Load per area,Specified Return Airflow,Zone,Plenum,Occupiable,HistoricPreservationZoneName,Space Type,Design Heating Load,Specified Supply Airflow,Actual Supply Airflow,Room Cavity Ratio,Return Airflow,Actual Return Airflow,Actual Exhaust Airflow,Specified Exhaust Airflow,Lighting Calculation Workplane,Ceiling Reflectance,Floor Reflectance,Category Description,Category Code,LoadCapacity,CirculationZoneName,FireAlarmZoneName,LightingZoneName,OccupancyZoneName,VentilationZoneName,RoomTag,BoundedBy,Connector,Power,BtuPerFt,Voltage,Gas Radius,Vent Radius,Electrical Box Height,Exhaust Air Flow,Boiler Radius,Electrical Box Width,Water Pressure Drop,Water Flow,Output Heat,Input Heat,Gas Flow,Exhaust Air Pressure Drop,Number of Poles,Vent Box Diameter,Vent Diameter,Vent Box Height,Gas Diameter,Electrical Box Length,Boiler Top Diameter,Boiler Height,Boiler Diameter,Vent Box Radius,Boiler Top Radius,ControlElementId,Suction Nominal Radius,Suction Outside Diameter,Discharge Nominal Radius,Suction Nominal Diameter,RPM,Suction Outside Radius,Outside Diameter 4,Outside Diameter 2,Outside Diameter 1,Discharge Nominal Diameter,Housing Width,Flange Height,Flange Diameter,Outside Radius 1,Outside Radius 2,Outside Radius 4,Flange Radius,External Static Presure,Diameter 2,Diameter 1,Half Exhaust Inlet Height,Air Flow,Half Outlet Radius,Overall Height,Fan Radius,Fan Height,Fan Diameter,Outlet Width,Outlet Height,Cap Radius,Cap Diameter,Base Width
14661,Level 1,ExpectedLife,5,545367,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,14660,0.000000,14657,Reference,Elbow - Generic,25 mm-25 mm,"14724,14726,14728,14730,14732,14734,14736,310558,311068,311069,311070",1h2HIdbwr3t8YhukuWVcPX,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:545367,,InstallationDate,14661,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,351,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15491,Level 1,ExpectedLife,5,546380,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,15490,0.000000,15487,Reference,Elbow - Generic,25 mm-25 mm,"15519,15521,15523,15525,15527,15529,15531,310558,311068,311069,311070",2N0HEBexr8OuOYHpRXqZtb,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:546380,,InstallationDate,15491,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,366,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15725,Level 1,ExpectedLife,5,546395,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,15724,0.000000,15721,Reference,Elbow - Generic,25 mm-25 mm,"15753,15755,15757,15759,15761,15763,15765,310558,311068,311069,311070",2N0HEBexr8OuOYHpRXqZto,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:546395,,InstallationDate,15725,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,372,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16372,Level 1,ExpectedLife,5,546904,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,16371,0.000000,16368,Reference,Elbow - Generic,25 mm-25 mm,"16400,16402,16404,16406,16408,16410,16412,310558,311068,311069,311070",2N0HEBexr8OuOYHpRXqZFn,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:546904,,InstallationDate,16372,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,404,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17408,Level 1,ExpectedLife,5,546905,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,17407,0.000000,17404,Reference,Tee - Generic,25 mm-25 mm-25 mm,"17471,17473,17475,17477,17479,17481,17483,310567,311065,311066,311067",2apNB0mXHB2QMfsfH8g5jg,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:546905,,InstallationDate,17408,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,405,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18426,Level 1,ExpectedLife,5,547147,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,18425,0.000000,18422,Reference,Elbow - Generic,25 mm-25 mm,"18454,18456,18458,18460,18462,18464,18466,310558,311068,311069,311070",2N0HEBexr8OuOYHpRXqZBY,Color,33,M_Elbow - Generic:Elbow - Generic:Elbow - Generic:547147,,InstallationDate,18426,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,Constituents,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,414,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18474,Level 1,ExpectedLife,5,547149,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,18473,0.000000,18470,Reference,Tee - Generic,25 mm-25 mm-25 mm,"18503,18505,18507,18509,18511,18513,18515,310567,311065,311066,311067",2N0HEBexr8OuOYHpRXqZBa,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:547149,,InstallationDate,18474,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,416,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20141,Level 1,ExpectedLife,5,547619,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,20140,0.000000,20137,Reference,Tee - Generic,25 mm-25 mm-25 mm,"20170,20172,20174,20176,20178,20180,20182,310567,311065,311066,311067",2N0HEBexr8OuOYHpRXqZ2A,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:547619,,InstallationDate,20141,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351266,483,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21924,Level 1,ExpectedLife,5,547884,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000111,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,21923,0.000000,21919,Reference,Tee - Generic,25 mm-25 mm-25 mm,"21953,21955,21957,21959,21961,21963,21965,310585,311065,311066,311067",1Gc_MGv3PDAxYH_yXet1yo,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:547884,,InstallationDate,21924,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351257,521,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,89.999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22532,Level 1,ExpectedLife,5,548088,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Unit A Hydronic Supply In,CodePerformance,310491,0.093750,Level 2,0.046875,22531,0.000000,22528,Reference,Tee - Generic,25 mm-25 mm-25 mm,"22561,22563,22565,22567,22569,22571,22573,310567,311065,311066,311067",2N0HEBexr8OuOYHpRXqZTH,Color,33,M_Tee - Generic:Tee - Generic:Tee - Generic:548088,,InstallationDate,22532,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,Constituents,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,540,ReplacementCost,M_Pipe Fitting - Generic.csv,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
