,Parent,ExpectedLife,Loss Method,Tag,Phase Created,AccessibilityPerformance,WarrantyGuarantorParts,Angle,AssetAccountingType,System Name,CodePerformance,ContainedInStructure,Fitting Outside Diameter,Level,Insulation Radius,ObjectPlacement,Insulation Thickness,Representation,Reference,ObjectType,Size,IsDefinedBy,GlobalId,Color,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Tick Size,Nominal Radius,Nominal Diameter,ModelNumber,Features,TagNumber,Center to End,BarCode,System Type,K Coefficient Table,Fitting Outside Radius,Use Annotation Scale,Center Radius,SerialNumber,WarrantyStartDate,AssetIdentifier,Host,Offset,Mark,ReplacementCost,Lookup Table Name,Constituents,OmniClass Title,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,OmniClass Number,Center to End Label,Angle 1,Visibility 3,Visibility 2,Visibility 1,OffsetHeight,Fitting Outside Diameter 2,Fitting Outside Diameter 1,Insulation Radius 2,Insulation Radius 1,Nominal Diameter 2,Nominal Diameter 1,Width Offset,Max Fitting Outside Diameter 12,Height Offset,Fitting Outside Radius 2,Fitting Outside Radius 1,Tick Size 2,Tick Size 1,Nominal Radius 2,Nominal Radius 1,Length,OffsetWidth,W0,Num 6,OffsetWidthfromBase,Num 8,Lining Radius,Num 10,Num 1,Num 4,Num 3,Radius,Num 9,OffsetHeightfromBase,Num 7,Length01,Length 8,Length 7,Length 6,Length 5,Length 4,Num 2,Length 2,Length 1,Length 3,Half H0,Half W0,Num 5,Delta 2,Delta 1,Lining W0,Lining H0,Insulation H0,Insulation W0,H0,OffsetWidthTemp,OffsetHeightTemp,Diameter,Lining Thickness,Tee,Reference Level,Additional Flow,Inner Diameter,Friction,Flow State,Invert Elevation,Flow,Reynolds Number,Relative Roughness,Friction Factor,End Offset,Velocity,Pressure Drop,Section,Area,Outer Diameter,Horizontal Justification,Vertical Justification,Start Offset,Slope,Roughness,Connection Type,Cross,Class,Elbow,Preferred Junction Type,Transition,Union,Tap,Top Elevation,Velocity Pressure,Bottom Elevation,Size Lock,Loss Coefficient,Hydraulic Diameter,Reynolds number,Multi Shape Transition Rect to Round,Multi Shape Transition Oval to Round,Design HVAC Load per area,InteriorOrExteriorSpace,LongName,ElevationWithFlooring,Upper Limit,CompositionType,Number,Decomposes,Average Estimated Illumination,Condition Type,GSA BIM Area,Room Number,Design Cooling Load,Unbounded Height,Room Name,Phase,Base Offset,Limit Offset,Perimeter,Volume,Plenum,Occupiable,Design Other Load per area,Specified Return Airflow,Zone,Space Type,Design Heating Load,Room Cavity Ratio,Return Airflow,Specified Supply Airflow,Actual Supply Airflow,Actual Return Airflow,Actual Exhaust Airflow,Specified Exhaust Airflow,Lighting Calculation Workplane,Ceiling Reflectance,Wall Reflectance,Floor Reflectance,Calculated Supply Airflow,Calculated Heating Load,Calculated Cooling Load,BoundedBy,Type Comments,Model,Height,Connector,Keynote,Comments,Type Mark,Power,Assembly Code,Schedule Level,Elevation,Default Elevation,URL,Cost,Assembly Description,BtuPerFt,Hot Water Diameter,Voltage,Gas Radius,Vent Radius,Electrical Box Height,Exhaust Air Flow,Boiler Radius,Electrical Box Width,Water Pressure Drop,Water Flow,Output Heat,Input Heat,Gas Flow,Exhaust Air Pressure Drop,Load Classification,Circuit Number,Number of Poles,Hot Water Radius,Vent Box Diameter,Vent Diameter,Vent Box Height,Gas Diameter,Electrical Box Length,Cold Water Radius,Cold Water Diameter,Boiler Top Diameter,Boiler Height,Boiler Diameter,Vent Box Radius,Radius 1,Boiler Top Radius,Apparent Load,Nut Height,Stem Radius,Nut Radius,Stem Height,Seal Length,Stem Diameter,Nut Diameter,Handle Width,Handle Length,Handle Height,Body Radius,Body Height,Body Length,Body Diameter,Adapter Radius,Adapter Length,Adapter Diameter,Half Nut Height,K Coefficient,Radius 10,Outside Radius,Width 1,Width 2,Thickness 1,Radius 9,Radius 8,Radius 7,Radius 6,Radius 5,Radius 4,Radius 3,Radius 2,Length 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Angle 2,Valve Length,Outside Diameter,Open Height,C1 Offset 1,C1 Offset 2,Suction Nominal Radius,Suction Outside Diameter,Flow Rate,RPM,Suction Outside Radius,Suction Nominal Diameter,Outside Diameter 1,Outside Diameter 2,Outside Diameter 4,Housing Width,Flange Height,Flange Diameter,Discharge Nominal Radius,Discharge Nominal Diameter,Outside Radius 1,Outside Radius 2,Outside Radius 4,Flange Radius,External Static Presure,Air Flow,Half Outlet Radius,Half Exhaust Inlet Height,Diameter 1,Diameter 2,Overall Height,Fan Radius,Fan Height,Fan Diameter,Outlet Width,Outlet Height,Cap Radius,Cap Diameter,Base Width
10911,Level 1,ExpectedLife,5,545367,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,10910,0.000000,10907,Reference,Standard,25 mm-25 mm,"10974,10976,10978,10980,10982,10984,10986,154927,154982,154983,154984",2N0HEBexr8OuOYHpRXqZd_,Color,33,M_Elbow - Generic:Standard:Standard:545367,,InstallationDate,10911,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,351,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11717,Level 1,ExpectedLife,5,546380,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,11716,0.000000,11713,Reference,Standard,25 mm-25 mm,"11745,11747,11749,11751,11753,11755,11757,154927,154982,154983,154984",2N0HEBexr8OuOYHpRXqZtb,Color,33,M_Elbow - Generic:Standard:Standard:546380,,InstallationDate,11717,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,366,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11945,Level 1,ExpectedLife,5,546395,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,11944,0.000000,11941,Reference,Standard,25 mm-25 mm,"11973,11975,11977,11979,11981,11983,11985,154927,154982,154983,154984",2N0HEBexr8OuOYHpRXqZto,Color,33,M_Elbow - Generic:Standard:Standard:546395,,InstallationDate,11945,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,372,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12574,Level 1,ExpectedLife,5,546904,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,12573,0.000000,12570,Reference,Standard,25 mm-25 mm,"12602,12604,12606,12608,12610,12612,12614,154927,154982,154983,154984",2N0HEBexr8OuOYHpRXqZFn,Color,33,M_Elbow - Generic:Standard:Standard:546904,,InstallationDate,12574,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,404,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13610,Level 1,ExpectedLife,5,546905,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,13609,0.000000,13606,Reference,Standard,25 mm-25 mm-25 mm,"13673,13675,13677,13679,13681,13683,13685,154928,154979,154980,154981",2N0HEBexr8OuOYHpRXqZFm,Color,33,M_Tee - Generic:Standard:Standard:546905,,InstallationDate,13610,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,405,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598,Level 1,ExpectedLife,5,547147,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,14597,0.000000,14594,Reference,Standard,25 mm-25 mm,"14626,14628,14630,14632,14634,14636,14638,154927,154982,154983,154984",2N0HEBexr8OuOYHpRXqZBY,Color,33,M_Elbow - Generic:Standard:Standard:547147,,InstallationDate,14598,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.067708,BarCode,Hydronic Supply,"Regular 45, 90 and 180 Elbow",0.046875,T,0.067708,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,414,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14646,Level 1,ExpectedLife,5,547149,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,14645,0.000000,14642,Reference,Standard,25 mm-25 mm-25 mm,"14675,14677,14679,14681,14683,14685,14687,154928,154979,154980,154981",2N0HEBexr8OuOYHpRXqZBa,Color,33,M_Tee - Generic:Standard:Standard:547149,,InstallationDate,14646,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351265,416,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16252,Level 1,ExpectedLife,5,547619,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,16251,0.000000,16248,Reference,Standard,25 mm-25 mm-25 mm,"16281,16283,16285,16287,16289,16291,16293,154928,154979,154980,154981",2N0HEBexr8OuOYHpRXqZ2A,Color,33,M_Tee - Generic:Standard:Standard:547619,,InstallationDate,16252,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351266,483,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18002,Level 1,ExpectedLife,5,547884,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000111,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,18001,0.000000,17997,Reference,Standard,25 mm-25 mm-25 mm,"18031,18033,18035,18037,18039,18041,18043,154929,154979,154980,154981",2N0HEBexr8OuOYHpRXqZU5,Color,33,M_Tee - Generic:Standard:Standard:547884,,InstallationDate,18002,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351257,521,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,89.999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18589,Level 1,ExpectedLife,5,548088,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,90.000000,FIXED,Hydronic Return Unit A,CodePerformance,154873,0.093750,Level 2,0.046875,18588,0.000000,18585,Reference,Standard,25 mm-25 mm-25 mm,"18618,18620,18622,18624,18626,18628,18630,154928,154979,154980,154981",2N0HEBexr8OuOYHpRXqZTH,Color,33,M_Tee - Generic:Standard:Standard:548088,,InstallationDate,18589,WarrantyGuarantorLabor,0.037500,0.041010,0.082021,ModelNumber,Features,TagNumber,0.088542,BarCode,Hydronic Supply,Tee,0.046875,T,,SerialNumber,WarrantyStartDate,AssetIdentifier,Level : Level 2,-0.351253,540,ReplacementCost,M_Pipe Fitting - Generic.csv,Constituents,Pipework Fittings,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,Manufacturer,23.60.30.11.14,0.088542,90.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
