,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Base Level,Area,Excluded,Height,Length,Shape is modified,Thickness,Volume,Construction,Material,Material By Original,Original Category,Original Family,Original Type,Show Shape Handles,Phase Created,Phase Created By Original,Phase Demolished,Phase Demolished By Original,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Elevation,Story Above,Computation Height,Is ground plane,Scope Box,Building Story,Name,Structural,Elevation Base,Color,Line Pattern,Line Weight,Symbol,Symbol at End 1 Default,Symbol at End 2 Default,Level,1,2,3,4,5,6,7,8,Host Id,D of Top,H,base,top,Elevation from Level,Offset from Host,Schedule Level,H of Blinds (max H),W,Count,Base,Cable,Top,Top Vis,Default Elevation,Data1,H of Top,H of board,Radius of Cable,Rotation,W of board,Count of Cables,Work Plane,D,H1,L of L,Thickness of L,space,Hole,Moves With Nearby Elements,Host,Edge,h2,r,r2,r3,ver,d2,w3,glass,h1,From Edge Downpipe Left,From Edge Downpipe Right,L,r1,r2-data,Dia,H Bottom,Offset hor,Offset ver,left,right,Height Offset From Level,Related to Mass,Room Bounding,Core Thickness,Elevation at Bottom,Elevation at Bottom Core,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Core,Elevation at Top Survey,Perimeter,Enable Analytical Model,Span Direction,Absorptance,Heat Transfer Coefficient (U),Roughness,Thermal Mass,Thermal Resistance (R),Default Thickness,Function,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Structural Material,Sill Height,Angle data,2D Swing Angle,3D Angle (0°=closed),Mark,Head Height,Analytic Construction,Wall Closure,Hdata,Wdata,data,w2,Door distance from edge,Width,OmniClass Number,OmniClass Title,Type Mark,Frame Projection,Frame Width 1,Frame Width 2,gap,Handle,wdata,Parapet Corner L,Width Right,frame,frame 90°,parapet,Parapet Corner,Parapet Straight,Exterior Offset,Parapet Height,Parapet Offset,Thickness of frame,Width of frame,Default Sill Height,1 Frame,1 Frame Corner Left,1 Frame Corner Left Double Glass,1 Frame Double Glass,1 Frame Glass,2 Frame,2 Frame Glass Left,2 Frame Glass Right,2 Frame Left,2 Frame Right,Base Constraint,Base Extension Distance,Base Offset,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top Offset,Top is Attached,Unconnected Height,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Structural Usage,Wrapping at Ends,Wrapping at Inserts
358197,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683297,None,OST_RvtLinks,kitchen.rvt,kitchen.rvt,kitchen.rvt,kitchen.rvt,kitchen.rvt,Linked Revit Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673003,None,OST_Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682491,None,OST_Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673004,None,OST_Parts,,,,,,,Level 1,101 m²,No,20,11711,No,20,2.02 m³,Core,507078,No,-2000032,Floor,250 - PODLAHA,No,Phase 1,Yes,None,Yes,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673005,None,OST_Parts,,,,,,,Level 1,101 m²,No,230,11711,No,230,23.21 m³,Core,352971,Yes,-2000032,Floor,250 - PODLAHA,No,Phase 1,Yes,None,Yes,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682492,None,OST_Parts,,,,,,,Level 1,78 m²,No,20,6435,No,20,1.56 m³,Core,581783,Yes,-2000032,Floor,250 - PODLAHA,No,Phase 1,Yes,None,Yes,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682493,None,OST_Parts,,,,,,,Level 1,78 m²,No,230,6435,No,230,17.96 m³,Core,352971,Yes,-2000032,Floor,250 - PODLAHA,No,Phase 1,Yes,None,Yes,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,None,OST_Levels,8mm Head,8mm Head,8mm Head,8mm Head,8mm Head,Level,,,,,,,,,,None,,,,,,,,,,,,,0,None,0,No,None,Yes,Level 1,No,0,0,Centre,1,Type 1,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,None,OST_Levels,8mm Head,8mm Head,8mm Head,8mm Head,8mm Head,Level,,,,,,,,,,None,,,,,,,,,,,,,3400,None,0,No,None,Yes,Level 2,No,0,0,Centre,1,Type 1,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543586,None,OST_Levels,8mm Head,8mm Head,8mm Head,8mm Head,8mm Head,Level,,,,,,,,,,None,,,,,,,,,,,,,7400,None,0,No,None,Yes,Level 7,No,0,0,Centre,1,Type 1,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683692,None,OST_GenericModel,Family43,Family43,Family43,Family43,Family43,Záves,,4 m²,,,1260,,,0.02 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,None,63,95,115,84,105,126,74,121,None,60,2500,336767,321055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
