,Family,Type,Height Offset From Level,Room Bounding,Area,Perimeter,Volume,Design Option,Category,Family and Type,Type Id,Phase Created,Phase Demolished,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Type Name,Family Name,Spacing Axis 1,Spacing Axis 2,Horizontal Profile Offset,Vertical Profile Offset,Length,Angle,Profile,Material,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Height,Render Appearance,Render Appearance Properties,Elevation from Level,Default Elevation,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Type Comments,Depth,Width,Washer Material,Label,Handle,Rear Clearance,Top Door Height,Dishwasher Material,Panel Face Material,Burner Material,Range Material,Microwave Material,Eccentricity,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Material,Structural Usage,Mark,Toilet - Bowl/Basin Material,Toilet - Seat Material,Top Of Counter,Basin Material,Faucet Material,Tub Material,Basin Rim Arc,Enclosure Track Depth,Basin Arc,Basin Drain,Basin Length,Basin Rim Depth,Basin Rim Thickness,Basin Thickness,Basin Width,Enclosure Cap,Enclosure Glass Thickness,Enclosure Height,Counter Height,Sink Material,Electrical Data,Calculate Coefficient of Utilization,Light Source Symbol Size,Ballast Number of Poles,Ballast Voltage,Lamp,Apparent Load,Diffuser Material,Light Box Material,At a distance,Ballast Loss,Color Filter,Dimming Lamp Color Temperature Shift,Efficacy,Emit Shape Visible in Rendering,Emit from Circle Diameter,Illuminance,Initial Color,Initial Color Temperature,Initial Intensity,Initial Light Intensity Input Method,Lamp Lumen Depreciation,Lamp Tilt Loss,Light Loss Factor,Light Loss Input Method,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Surface Depreciation Loss,Temperature Color,Temperature Loss,Total Light Loss Factor,Voltage Loss,Wattage,length,Light Source Symbol Length,Spot Beam Angle,Spot Field Angle,Tilt Angle,Base Offset,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Position,Base Level,Desired Stair Height,Top Level,Top Offset,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,Rebar Cover,Moves With Grids,Offset Base,Offset Top,Description,Leg Finish,Table Top,TV,Height of TV,Length of TV,Width of TV,Foot,Glass,Metal,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Fascia Depth,Maximum Ridge Height,Rafter Cut,Rafter or Truss,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Define Thermal Properties by,Wall Closure,Trim Projection Ext,Trim Projection Int,Trim Width,Type Mark,Door Material,Frame Material,Comments,Muntin,Rail Width - Base,Rail Width - Center,Rail Width - Head,Stile Width,Trim Projection Ext.,Trim Projection Int.,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Default Sill Height,Window Inset,Glass Pane Material,Sash Material,Projection,Rough Opening,Sash,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
194780,"Generic - 4""","Generic - 4""","0""",Yes,3 SF,"10' - 6 1/2""",1.11 CF,None,OST_RoofSoffit,"Generic - 4""","Generic - 4""",New Construction,None,0.1,1,"4""",0,None,"Generic - 4""",Roof Soffit,"1' - 0""","1' - 0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177090,Fascia-Flat 1x12,Fascia-Flat 1x12,,,,,,None,OST_Fascia,Fascia-Flat 1x12,Fascia-Flat 1x12,New Construction,None,,,,,,Fascia-Flat 1x12,Fascia,,,"0""","0""","136' - 0 1/2""",0.00°,1x8,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187021,Fascia-Flat 1x12,Fascia-Flat 1x12,,,,,,None,OST_Fascia,Fascia-Flat 1x12,Fascia-Flat 1x12,New Construction,None,,,,,,Fascia-Flat 1x12,Fascia,,,"0""","0""","24' - 9 1/2""",0.00°,1x8,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187023,Fascia-Flat 1x12,Fascia-Flat 1x12,,,,,,None,OST_Fascia,Fascia-Flat 1x12,Fascia-Flat 1x12,New Construction,None,,,,,,Fascia-Flat 1x12,Fascia,,,"0""","0""","1' - 0 1/4""",0.00°,1x8,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187153,Fascia-Flat 1x12,Fascia-Flat 1x12,,,,,,None,OST_Fascia,Fascia-Flat 1x12,Fascia-Flat 1x12,New Construction,None,,,,,,Fascia-Flat 1x12,Fascia,,,"0""","0""","13' - 5 1/2""",0.00°,1x8,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173797,RPC Beetle,RPC Beetle,,,,,,None,OST_Entourage,RPC Beetle,RPC Beetle,New Construction,None,,,,,,RPC Beetle,RPC Beetle,,,,,,,,,Surface,first floor,No,"7 1/2""",None,"0""",RPC-16-0U6E-L4EG-ENH1-J3KF-SVEL-0TX4-C0,"{2, 15},{39, RPC-16-0U6E-L4EG-ENH1-J3KF-SVEL-0TX4-C0},{1, 0},{1, 0},{2, 37},{1, 8},{5, Color},{1, 0},{1, 0},{3, 0.8},{3, 0.8},{3, 0.8},{1, 8},{7, BBoxMin},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{1, 8},{7, BBoxMax},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{2, 11},{9, RPCTypeId},{1, 0},{1, 0},{39, RPC-16-0U6E-L4EG-ENH1-J3KF-SVEL-0TX4-C0},{1, 6},{14, RPCPlantHeight},{1, 0},{1, 0},{7, 4.91667},{2, 11},{11, RPCFilePath},{1, 0},{1, 0},{92, C:\RevitRender\Version2015940\2017\assetlibrary_base.fbm\RPCs\ArchVision_Demo_VW_Beetle4.rpc},{2, 11},{20, AdvancedUIDefinition},{1, 0},{1, 0},{0, },{2, 11},{10, AssetLibID},{1, 0},{1, 0},{36, 4D3F6E72-3F99-4203-98E9-AF80B3C7A7A4},{2, 11},{10, BaseSchema},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{12, ExchangeGUID},{1, 0},{1, 0},{0, },{1, 2},{6, Hidden},{1, 0},{1, 0},{1, 0},{2, 11},{12, LocalizedUID},{1, 0},{1, 0},{0, },{1, 4},{11, RPCCategory},{1, 0},{1, 0},{1, 0},{2, 11},{8, RPCImage},{1, 0},{1, 0},{0, },{1, 4},{13, SchemaVersion},{1, 0},{1, 0},{1, 5},{2, 11},{12, UIDefinition},{1, 0},{1, 0},{0, },{2, 11},{6, UIName},{1, 0},{1, 0},{39, RPC-16-0U6E-L4EG-ENH1-J3KF-SVEL-0TX4-C0},{2, 11},{11, VersionGUID},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{9, assettype},{1, 0},{1, 0},{11, RPCGeometry},{2, 11},{11, description},{1, 0},{1, 0},{0, },{2, 11},{9, localname},{1, 0},{1, 0},{3, RPC},{2, 11},{9, localtype},{1, 0},{1, 0},{3, RPC},{1, 4},{8, revision},{1, 0},{1, 0},{1, 1},{2, 11},{9, thumbnail},{1, 0},{1, 0},{0, },{1, 4},{7, version},{1, 0},{1, 0},{1, 1},{2, 14},{6, Height},{1, 0},{1, 0},{7, 4.91667},{1, 2},{20, RPC_Cast Reflections},{1, 0},{1, 0},{1, 1},{1, 4},{16, RPC_Transparency},{1, 0},{1, 0},{2, 18},{1, 4},{11, RPC_Tinting},{1, 0},{1, 0},{2, 50},{1, 2},{15, RPC_Use Tinting},{1, 0},{1, 0},{1, 0},{1, 2},{17, RPC_License Plate},{1, 0},{1, 0},{1, 0},{2, 11},{25, RPC_License Plate Texture},{1, 0},{1, 0},{64, __RPC:/object data/textures/car/plate/textures/default/rgb/0/0/0},{2, 11},{27, RPC_i_License Plate Texture},{1, 0},{1, 0},{0, },{1, 2},{16, RPC_Custom Plate},{1, 0},{1, 0},{1, 0},{2, 11},{27, RPC_License Plate File Name},{1, 0},{1, 0},{0, },{2, 11},{7, keyword},{1, 0},{1, 0},{27, :Geometry:RPC:VW Beetle [4]},{2, 11},{8, category},{1, 0},{1, 0},{21, :Auto_Economy/Midsize},{21, assetlibrary_base.fbx},{1, 5},",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174377,Alex,Alex,,,,,,None,OST_Entourage,Alex,Alex,New Construction,None,,,,,,Alex,RPC Male,,,,,,,,,Surface,first floor,No,"0""",None,"0""",RPC-8-X9C2-NGU9-LXF5-4,"{2, 15},{22, RPC-8-X9C2-NGU9-LXF5-4},{1, 0},{1, 0},{2, 40},{1, 8},{5, Color},{1, 0},{1, 0},{3, 0.8},{3, 0.8},{3, 0.8},{1, 8},{7, BBoxMin},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{1, 8},{7, BBoxMax},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{2, 11},{9, RPCTypeId},{1, 0},{1, 0},{22, RPC-8-X9C2-NGU9-LXF5-4},{1, 6},{14, RPCPlantHeight},{1, 0},{1, 0},{7, 5.83333},{2, 11},{7, keyword},{1, 0},{1, 0},{18, :Geometry:RPC:Alex},{2, 11},{8, category},{1, 0},{1, 0},{16, :People [Casual]},{2, 11},{12, LocalizedUID},{1, 0},{1, 0},{4, Alex},{2, 14},{6, Height},{1, 0},{1, 0},{7, 5.83333},{1, 2},{16, Cast Reflections},{1, 0},{1, 0},{1, 0},{1, 2},{6, Jitter},{1, 0},{1, 0},{1, 1},{1, 2},{9, Billboard},{1, 0},{1, 0},{1, 0},{1, 2},{12, Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{20, Apply Filter Effects},{1, 0},{1, 0},{1, 0},{2, 11},{28, Apply Filter Effects-Text-FC},{1, 0},{1, 0},{4, None},{2, 11},{11, RPCFilePath},{1, 0},{1, 0},{84, C:\RevitRender\Version2015940\2017\assetlibrary_base.fbm\RPCs\ArchVision_C1_Alex.rpc},{2, 11},{20, AdvancedUIDefinition},{1, 0},{1, 0},{0, },{2, 11},{10, AssetLibID},{1, 0},{1, 0},{36, 4D3F6E72-3F99-4203-98E9-AF80B3C7A7A4},{2, 11},{10, BaseSchema},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{12, ExchangeGUID},{1, 0},{1, 0},{0, },{1, 2},{6, Hidden},{1, 0},{1, 0},{1, 0},{1, 4},{11, RPCCategory},{1, 0},{1, 0},{1, 0},{2, 11},{8, RPCImage},{1, 0},{1, 0},{0, },{1, 4},{13, SchemaVersion},{1, 0},{1, 0},{1, 5},{2, 11},{12, UIDefinition},{1, 0},{1, 0},{0, },{2, 11},{6, UIName},{1, 0},{1, 0},{22, RPC-8-X9C2-NGU9-LXF5-4},{2, 11},{11, VersionGUID},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{9, assettype},{1, 0},{1, 0},{11, RPCGeometry},{2, 11},{11, description},{1, 0},{1, 0},{0, },{2, 11},{9, localname},{1, 0},{1, 0},{3, RPC},{2, 11},{9, localtype},{1, 0},{1, 0},{3, RPC},{1, 4},{8, revision},{1, 0},{1, 0},{1, 1},{2, 11},{9, thumbnail},{1, 0},{1, 0},{0, },{1, 4},{7, version},{1, 0},{1, 0},{1, 1},{1, 2},{20, RPC_Cast Reflections},{1, 0},{1, 0},{1, 1},{1, 2},{10, RPC_Jitter},{1, 0},{1, 0},{1, 1},{1, 2},{13, RPC_Billboard},{1, 0},{1, 0},{1, 0},{1, 2},{16, RPC_Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{24, RPC_Apply Filter Effects},{1, 0},{1, 0},{1, 0},{2, 11},{32, RPC_Apply Filter Effects-Text-FC},{1, 0},{1, 0},{4, None},{21, assetlibrary_base.fbx},{1, 5},",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230153,Red Ash - 25',Red Ash - 25',,,,,,None,OST_Planting,Red Ash - 25',Red Ash - 25',New Construction,None,,,,,,Red Ash - 25',RPC Tree - Deciduous,,,,,,,,,Surface,first floor,No,"0""",None,"25' - 0""",RPC-8-G3GR-497X-PHW5-6,"{2, 15},{22, RPC-8-G3GR-497X-PHW5-6},{1, 0},{1, 0},{2, 38},{1, 8},{5, Color},{1, 0},{1, 0},{3, 0.8},{3, 0.8},{3, 0.8},{1, 8},{7, BBoxMin},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{1, 8},{7, BBoxMax},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{2, 11},{9, RPCTypeId},{1, 0},{1, 0},{22, RPC-8-G3GR-497X-PHW5-6},{1, 6},{14, RPCPlantHeight},{1, 0},{1, 0},{2, 25},{2, 11},{7, keyword},{1, 0},{1, 0},{78, :Geometry:RPC:Red Ash:red ash:frainus pennsylvanica:frene rouge:deciduous:tree},{2, 11},{8, category},{1, 0},{1, 0},{16, :Trees [General]},{2, 11},{12, LocalizedUID},{1, 0},{1, 0},{7, Red Ash},{2, 14},{6, Height},{1, 0},{1, 0},{2, 25},{1, 2},{16, Cast Reflections},{1, 0},{1, 0},{1, 0},{1, 2},{6, Jitter},{1, 0},{1, 0},{1, 1},{1, 2},{9, Billboard},{1, 0},{1, 0},{1, 0},{1, 2},{12, Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{20, Apply Filter Effects},{1, 0},{1, 0},{1, 0},{2, 11},{28, Apply Filter Effects-Text-FC},{1, 0},{1, 0},{4, None},{2, 11},{11, RPCFilePath},{1, 0},{1, 0},{87, C:\RevitRender\Version2015940\2017\assetlibrary_base.fbm\RPCs\ArchVision_T1_Red_Ash.rpc},{2, 11},{20, AdvancedUIDefinition},{1, 0},{1, 0},{0, },{2, 11},{10, AssetLibID},{1, 0},{1, 0},{36, 4D3F6E72-3F99-4203-98E9-AF80B3C7A7A4},{2, 11},{10, BaseSchema},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{12, ExchangeGUID},{1, 0},{1, 0},{0, },{1, 2},{6, Hidden},{1, 0},{1, 0},{1, 0},{1, 4},{11, RPCCategory},{1, 0},{1, 0},{1, 0},{2, 11},{8, RPCImage},{1, 0},{1, 0},{0, },{1, 4},{13, SchemaVersion},{1, 0},{1, 0},{1, 5},{2, 11},{12, UIDefinition},{1, 0},{1, 0},{0, },{2, 11},{6, UIName},{1, 0},{1, 0},{22, RPC-8-G3GR-497X-PHW5-6},{2, 11},{11, VersionGUID},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{9, assettype},{1, 0},{1, 0},{11, RPCGeometry},{2, 11},{11, description},{1, 0},{1, 0},{0, },{2, 11},{9, localname},{1, 0},{1, 0},{3, RPC},{2, 11},{9, localtype},{1, 0},{1, 0},{3, RPC},{1, 4},{8, revision},{1, 0},{1, 0},{1, 1},{2, 11},{9, thumbnail},{1, 0},{1, 0},{0, },{1, 4},{7, version},{1, 0},{1, 0},{1, 1},{1, 2},{20, RPC_Cast Reflections},{1, 0},{1, 0},{1, 1},{1, 2},{10, RPC_Jitter},{1, 0},{1, 0},{1, 1},{1, 2},{13, RPC_Billboard},{1, 0},{1, 0},{1, 0},{1, 2},{16, RPC_Cast Shadows},{1, 0},{1, 0},{1, 1},{21, assetlibrary_base.fbx},{1, 5},","0""","0""",G2050500,Planting,23.40.05.17.24,Deciduous Trees,Red Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230140,Scarlet Oak - 42',Scarlet Oak - 42',,,,,,None,OST_Planting,Scarlet Oak - 42',Scarlet Oak - 42',New Construction,None,,,,,,Scarlet Oak - 42',RPC Tree - Deciduous,,,,,,,,,Surface,first floor,No,"0""",None,"42' - 0""",RPC-16-G0FB-J5PX-0LX6-U000-ST1L-LVER-AU,"{2, 15},{39, RPC-16-G0FB-J5PX-0LX6-U000-ST1L-LVER-AU},{1, 0},{1, 0},{2, 36},{1, 8},{5, Color},{1, 0},{1, 0},{3, 0.8},{3, 0.8},{3, 0.8},{1, 8},{7, BBoxMin},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{1, 8},{7, BBoxMax},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{2, 11},{9, RPCTypeId},{1, 0},{1, 0},{39, RPC-16-G0FB-J5PX-0LX6-U000-ST1L-LVER-AU},{1, 6},{14, RPCPlantHeight},{1, 0},{1, 0},{2, 42},{2, 11},{7, keyword},{1, 0},{1, 0},{128, :Geometry:RPC:Scarlet_Oak:Quercus palustris:Occurs in southern Ontario at the east and west ends of Lake Erie; locally abundant.},{2, 11},{8, category},{1, 0},{1, 0},{16, :Trees [General]},{2, 11},{12, LocalizedUID},{1, 0},{1, 0},{11, Scarlet_Oak},{2, 14},{6, Height},{1, 0},{1, 0},{2, 42},{1, 2},{16, Cast Reflections},{1, 0},{1, 0},{1, 0},{1, 2},{12, Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{9, Lock View},{1, 0},{1, 0},{1, 0},{1, 4},{5, ViewC},{1, 0},{1, 0},{1, 0},{2, 11},{11, RPCFilePath},{1, 0},{1, 0},{98, C:\RevitRender\Version2015940\2017\assetlibrary_base.fbm\RPCs\ArchVision_Stills_T5_Scarlet_Oak.rpc},{2, 11},{20, AdvancedUIDefinition},{1, 0},{1, 0},{0, },{2, 11},{10, AssetLibID},{1, 0},{1, 0},{36, 4D3F6E72-3F99-4203-98E9-AF80B3C7A7A4},{2, 11},{10, BaseSchema},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{12, ExchangeGUID},{1, 0},{1, 0},{0, },{1, 2},{6, Hidden},{1, 0},{1, 0},{1, 0},{1, 4},{11, RPCCategory},{1, 0},{1, 0},{1, 0},{2, 11},{8, RPCImage},{1, 0},{1, 0},{0, },{1, 4},{13, SchemaVersion},{1, 0},{1, 0},{1, 5},{2, 11},{12, UIDefinition},{1, 0},{1, 0},{0, },{2, 11},{6, UIName},{1, 0},{1, 0},{39, RPC-16-G0FB-J5PX-0LX6-U000-ST1L-LVER-AU},{2, 11},{11, VersionGUID},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{9, assettype},{1, 0},{1, 0},{11, RPCGeometry},{2, 11},{11, description},{1, 0},{1, 0},{0, },{2, 11},{9, localname},{1, 0},{1, 0},{3, RPC},{2, 11},{9, localtype},{1, 0},{1, 0},{3, RPC},{1, 4},{8, revision},{1, 0},{1, 0},{1, 1},{2, 11},{9, thumbnail},{1, 0},{1, 0},{0, },{1, 4},{7, version},{1, 0},{1, 0},{1, 1},{1, 2},{20, RPC_Cast Reflections},{1, 0},{1, 0},{1, 1},{1, 2},{16, RPC_Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{13, RPC_Lock View},{1, 0},{1, 0},{1, 0},{1, 4},{9, RPC_ViewC},{1, 0},{1, 0},{1, 0},{21, assetlibrary_base.fbx},{1, 5},","0""","0""",G2050500,Planting,23.40.05.17.24,Deciduous Trees,Scarlet Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229880,"Acacia  3'-6""","Acacia  3'-6""",,,,,,None,OST_Planting,"Acacia  3'-6""","Acacia  3'-6""",New Construction,None,,,,,,"Acacia  3'-6""",RPC Shrub,,,,,,,,,Surface,first floor,No,"0""",None,"3' - 6""",RPC-16-FXGU-2UPX-PKPN-8000-ST1L-LVER-AU,"{2, 15},{39, RPC-16-FXGU-2UPX-PKPN-8000-ST1L-LVER-AU},{1, 0},{1, 0},{2, 36},{1, 8},{5, Color},{1, 0},{1, 0},{3, 0.8},{3, 0.8},{3, 0.8},{1, 8},{7, BBoxMin},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{1, 8},{7, BBoxMax},{1, 0},{1, 0},{1, 0},{1, 0},{1, 0},{2, 11},{9, RPCTypeId},{1, 0},{1, 0},{39, RPC-16-FXGU-2UPX-PKPN-8000-ST1L-LVER-AU},{1, 6},{14, RPCPlantHeight},{1, 0},{1, 0},{3, 3.5},{2, 11},{7, keyword},{1, 0},{1, 0},{20, :Geometry:RPC:Acacia},{2, 11},{8, category},{1, 0},{1, 0},{17, :Shrubs & Grasses},{2, 11},{12, LocalizedUID},{1, 0},{1, 0},{6, Acacia},{2, 14},{6, Height},{1, 0},{1, 0},{3, 3.5},{1, 2},{16, Cast Reflections},{1, 0},{1, 0},{1, 0},{1, 2},{12, Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{9, Lock View},{1, 0},{1, 0},{1, 0},{1, 4},{5, ViewC},{1, 0},{1, 0},{1, 0},{2, 11},{11, RPCFilePath},{1, 0},{1, 0},{95, C:\RevitRender\Version2015940\2017\assetlibrary_base.fbm\RPCs\ArchVision_Stills_SOG1_Acacia.rpc},{2, 11},{20, AdvancedUIDefinition},{1, 0},{1, 0},{0, },{2, 11},{10, AssetLibID},{1, 0},{1, 0},{36, 4D3F6E72-3F99-4203-98E9-AF80B3C7A7A4},{2, 11},{10, BaseSchema},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{12, ExchangeGUID},{1, 0},{1, 0},{0, },{1, 2},{6, Hidden},{1, 0},{1, 0},{1, 0},{1, 4},{11, RPCCategory},{1, 0},{1, 0},{1, 0},{2, 11},{8, RPCImage},{1, 0},{1, 0},{0, },{1, 4},{13, SchemaVersion},{1, 0},{1, 0},{1, 5},{2, 11},{12, UIDefinition},{1, 0},{1, 0},{0, },{2, 11},{6, UIName},{1, 0},{1, 0},{39, RPC-16-FXGU-2UPX-PKPN-8000-ST1L-LVER-AU},{2, 11},{11, VersionGUID},{1, 0},{1, 0},{9, RPCSchema},{2, 11},{9, assettype},{1, 0},{1, 0},{11, RPCGeometry},{2, 11},{11, description},{1, 0},{1, 0},{0, },{2, 11},{9, localname},{1, 0},{1, 0},{3, RPC},{2, 11},{9, localtype},{1, 0},{1, 0},{3, RPC},{1, 4},{8, revision},{1, 0},{1, 0},{1, 1},{2, 11},{9, thumbnail},{1, 0},{1, 0},{0, },{1, 4},{7, version},{1, 0},{1, 0},{1, 1},{1, 2},{20, RPC_Cast Reflections},{1, 0},{1, 0},{1, 1},{1, 2},{16, RPC_Cast Shadows},{1, 0},{1, 0},{1, 1},{1, 2},{13, RPC_Lock View},{1, 0},{1, 0},{1, 0},{1, 4},{9, RPC_ViewC},{1, 0},{1, 0},{1, 0},{21, assetlibrary_base.fbx},{1, 5},","0""","0""",G2050500,Planting,23.40.05.17.17,Shrubs,Acacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
